data_date_part;count(1);WeekDay
2019-01-29;118;Tuesday
2019-01-28;4912;Monday
2019-01-25;3291;Friday
2019-01-24;1002;Thursday
2019-01-23;1186;Wednesday
2019-01-22;1283;Tuesday
2019-01-21;1259;Monday
2019-01-18;3579;Friday
2019-01-17;1041;Thursday
2019-01-16;1275;Wednesday
2019-01-15;1509;Tuesday
2019-01-14;1219;Monday
2019-01-11;41192;Friday
2019-01-10;1059;Thursday
2019-01-09;1065;Wednesday
2019-01-08;1055;Tuesday
2019-01-07;2589;Monday
2019-01-04;3235;Friday
2019-01-03;1059;Thursday
2019-01-02;2014;Wednesday
2018-12-31;49;Monday
2018-12-28;5187;Friday
2018-12-27;1264;Thursday
2018-12-26;1188;Wednesday
2018-12-24;1867;Monday
2018-12-21;3607;Friday
2018-12-20;1334;Thursday
2018-12-19;1241;Wednesday
2018-12-18;1130;Tuesday
2018-12-17;1027;Monday
2018-12-14;3901;Friday
2018-12-13;1104;Thursday
2018-12-12;39494;Wednesday
2018-12-11;1127;Tuesday
2018-12-10;1048;Monday
2018-12-07;4672;Friday
2018-12-05;2257;Wednesday
2018-12-04;1048;Tuesday
2018-12-03;3076;Monday
2018-11-30;157;Friday
2018-11-29;122;Thursday
2018-11-28;5031;Wednesday
2018-11-27;1300;Tuesday
2018-11-26;1206;Monday
2018-11-23;3073;Friday
2018-11-22;1297;Thursday
2018-11-21;1193;Wednesday
2018-11-20;1344;Tuesday
2018-11-19;1255;Monday
2018-11-16;3347;Friday
2018-11-15;1523;Thursday
2018-11-14;1248;Wednesday
2018-11-13;1139;Tuesday
2018-11-12;39932;Monday
2018-11-09;3150;Friday
2018-11-08;1091;Thursday
2018-11-07;2673;Wednesday
2018-11-06;1130;Tuesday
2018-11-05;1210;Monday
2018-11-02;4130;Friday
2018-10-31;42;Wednesday
2018-10-30;136;Tuesday
2018-10-29;88;Monday
2018-10-26;7523;Friday
2018-10-25;944;Thursday
2018-10-24;1019;Wednesday
2018-10-23;1239;Tuesday
2018-10-22;1304;Monday
2018-10-19;3719;Friday
2018-10-18;1119;Thursday
2018-10-17;1056;Wednesday
2018-10-16;1337;Tuesday
2018-10-15;1557;Monday
2018-10-11;43749;Thursday
2018-10-10;1060;Wednesday
2018-10-09;1069;Tuesday
2018-10-08;1094;Monday
2018-10-05;5000;Friday
2018-10-04;1054;Thursday
2018-10-03;1085;Wednesday
2018-10-02;1132;Tuesday
2018-10-01;1002;Monday
2018-09-28;5290;Friday
2018-09-27;1310;Thursday
2018-09-26;1220;Wednesday
2018-09-25;939;Tuesday
2018-09-24;1030;Monday
2018-09-21;3691;Friday
2018-09-20;1364;Thursday
2018-09-19;1235;Wednesday
2018-09-18;1130;Tuesday
2018-09-17;1084;Monday
2018-09-14;4013;Friday
2018-09-13;1130;Thursday
2018-09-12;40871;Wednesday
2018-09-11;1128;Tuesday
2018-09-10;1072;Monday
2018-09-07;4859;Friday
2018-09-06;1151;Thursday
2018-09-05;1210;Wednesday
2018-09-04;1066;Tuesday
2018-09-03;3168;Monday
2018-08-31;63;Friday
2018-08-30;77;Thursday
2018-08-29;58;Wednesday
2018-08-28;5233;Tuesday
2018-08-27;1306;Monday
2018-08-24;3120;Friday
2018-08-23;1218;Thursday
2018-08-22;1305;Wednesday
2018-08-21;1226;Tuesday
2018-08-20;1361;Monday
2018-08-17;3301;Friday
2018-08-16;1300;Thursday
2018-08-14;2770;Tuesday
2018-08-13;1137;Monday
2018-08-10;43341;Friday
2018-08-09;1078;Thursday
2018-08-08;1119;Wednesday
2018-08-07;2734;Tuesday
2018-08-06;1146;Monday
2018-08-03;3307;Friday
2018-08-02;1177;Thursday
2018-08-01;1018;Wednesday
2018-07-31;58;Tuesday
2018-07-30;80;Monday
2018-07-27;6611;Friday
2018-07-26;1237;Thursday
2018-07-25;945;Wednesday
2018-07-24;1046;Tuesday
2018-07-23;1253;Monday
2018-07-20;3925;Friday
2018-07-19;1246;Thursday
2018-07-18;1128;Wednesday
2018-07-17;1041;Tuesday
2018-07-16;1370;Monday
2018-07-13;3915;Friday
2018-07-12;41679;Thursday
2018-07-11;1130;Wednesday
2018-07-10;1092;Tuesday
2018-07-09;1130;Monday
2018-07-06;5016;Friday
2018-07-05;1234;Thursday
2018-07-04;1098;Wednesday
2018-07-03;1126;Tuesday
2018-07-02;2166;Monday
2018-06-29;96;Friday
2018-06-28;5387;Thursday
2018-06-27;1357;Wednesday
2018-06-26;1280;Tuesday
2018-06-25;968;Monday
2018-06-22;3592;Friday
2018-06-21;1275;Thursday
2018-06-20;1405;Wednesday
2018-06-19;1280;Tuesday
2018-06-18;1231;Monday
2018-06-15;3936;Friday
2018-06-14;1316;Thursday
2018-06-13;1157;Wednesday
2018-06-12;42305;Tuesday
2018-06-11;1167;Monday
2018-06-08;3324;Friday
2018-06-07;2856;Thursday
2018-06-06;1216;Wednesday
2018-06-05;1277;Tuesday
2018-06-04;1125;Monday
2018-06-01;3322;Friday
2018-05-31;57;Thursday
2018-05-30;86;Wednesday
2018-05-29;92;Tuesday
2018-05-28;5508;Monday
2018-05-25;3589;Friday
2018-05-24;1187;Thursday
2018-05-23;1430;Wednesday
2018-05-22;1561;Tuesday
2018-05-21;1387;Monday
2018-05-18;3853;Friday
2018-05-17;1103;Thursday
2018-05-16;1410;Wednesday
2018-05-15;1660;Tuesday
2018-05-14;1349;Monday
2018-05-11;45392;Friday
2018-05-10;1171;Thursday
2018-05-09;1197;Wednesday
2018-05-08;1217;Tuesday
2018-05-07;2943;Monday
2018-05-04;3613;Friday
2018-05-03;1170;Thursday
2018-05-02;2262;Wednesday
2018-04-30;66;Monday
2018-04-27;7046;Friday
2018-04-26;1360;Thursday
2018-04-25;1027;Wednesday
2018-04-24;1142;Tuesday
2018-04-23;1372;Monday
2018-04-20;4212;Friday
2018-04-19;1356;Thursday
2018-04-18;1249;Wednesday
2018-04-17;1181;Tuesday
2018-04-16;1469;Monday
2018-04-13;4261;Friday
2018-04-12;43964;Thursday
2018-04-11;1265;Wednesday
2018-04-10;1257;Tuesday
2018-04-09;1309;Monday
2018-04-06;5545;Friday
2018-04-05;1655;Thursday
2018-04-04;1953;Wednesday
2018-04-03;1778;Tuesday
2018-04-02;2380;Monday
